State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
Andaman and Nicobar Islands,Port Blair,11.8,22.3,,,,11.0,70.0,31.0,23.0,Good
Andhra Pradesh,Kanigiri,4.5,6.5,,,,24.0,32.0,36.0,8.0,Good
Andhra Pradesh,Ongole,4.5,6.7,,,,20.0,33.0,37.0,8.0,Good
Andhra Pradesh,Pedda Nakkala Palem,4.5,6.7,,,,16.0,32.0,37.0,8.0,Good
Andhra Pradesh,Narasaraopeta,4.7,6.9,,,,18.0,36.0,36.0,8.0,Good
Andhra Pradesh,Chilakaluripet,4.7,6.9,,,,15.0,33.0,37.0,8.0,Good
Andhra Pradesh,Markapur,4.5,6.5,,,,22.0,36.0,35.0,8.0,Good
Andhra Pradesh,Addanki,4.5,6.5,,,,21.0,31.0,37.0,8.0,Good
Andhra Pradesh,Darsi,4.5,6.5,,,,22.0,34.0,36.0,8.0,Good
Andhra Pradesh,Vinukonda,3.2,4.5,,,,22.0,33.0,36.0,6.0,Good
Andhra Pradesh,Govindapuram,4.7,6.9,,,,13.0,34.0,36.0,8.0,Good
Andhra Pradesh,Pavuluru,4.5,6.7,,,,16.0,32.0,37.0,8.0,Good
Assam,Bakal,16.8,24.1,,,,5.0,69.0,32.0,29.0,Good
Assam,Naharkatia Kaibatra,16.4,23.4,,,,6.0,71.0,31.0,28.0,Good
Assam,Dibrugarh,16.8,24.1,,,,6.0,84.0,30.0,29.0,Good
Assam,Silapathar,16.8,24.1,,,,5.0,77.0,31.0,29.0,Good
Assam,Tinsukia,16.4,23.4,,,,5.0,76.0,31.0,28.0,Good
Assam,Bordubi No.1,16.4,23.4,,,,5.0,76.0,31.0,28.0,Good
Assam,Doom Dooma,16.4,23.4,,,,6.0,76.0,31.0,28.0,Good
Assam,Bezarchuk Bongali,16.8,24.1,,,,9.0,74.0,32.0,29.0,Good
Assam,Makum,16.4,23.4,,,,9.0,71.0,31.0,28.0,Good
Assam,North Lakhimpur,16.8,24.1,,,,10.0,63.0,33.0,29.0,Good
Assam,Seodhai Kopowhuwa,16.4,23.4,,,,6.0,84.0,30.0,28.0,Good
India,Namsai,16.4,23.4,,,,2.0,76.0,31.0,28.0,Good
Assam,Hojai,15.7,22.4,,,,3.0,69.0,32.0,27.0,Good
Assam,Dhing Town,15.7,22.4,,,,14.0,52.0,35.0,27.0,Good
Assam,Dhekiajuli,15.7,22.4,,,,17.0,57.0,34.0,27.0,Good
Assam,Hatimuria,15.7,22.4,,,,15.0,52.0,35.0,27.0,Good
Assam,Lumding,10.7,15.3,,,,4.0,87.0,29.0,18.0,Good
Assam,Diphu,10.7,15.3,,,,5.0,77.0,30.0,18.0,Good
India,Golaghat,9.6,13.7,,,,6.0,81.0,30.0,16.0,Good
Assam,Rajagaon,15.7,22.4,,,,11.0,59.0,33.0,27.0,Good
